"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"ALB",2608957.17550939,-6.17225395318084e-06,0.46694063126933,-2.61684622586737,0.0088746311550818,0.249908293679348,"Stable"
"SERPINA1",974741.92781665,-7.09578430569293e-07,0.330676545179729,-0.232911326303328,0.815830263173761,0.975399694212748,"Stable"
"MT-CO1",886978.432280069,-3.25460953599056e-06,0.34459058078385,-1.06090832856918,0.288731563926056,0.825638497093708,"Stable"
"MT-ND4",713221.686420768,-1.59693876726158e-06,0.348369605765168,-0.335277478853648,0.737415780826993,0.960837458655844,"Stable"
"FTL",574985.238301593,-7.20185870756691e-07,0.46022386529336,-0.356804149009929,0.721238429988473,0.958946917477268,"Stable"
"APOA2",613718.107537226,4.46671391168618e-07,0.523930936301121,0.490947980291869,0.623463240402688,0.939909920270073,"Stable"
"C3",514723.523516877,-5.81980112942507e-06,0.265687717104816,-1.34166847513412,0.179703512973208,0.745550713070238,"Stable"
"FGA",508482.52261353,-7.06413682157545e-06,0.366072250741639,-2.35446453918219,0.0185494134627854,0.33349321277041,"Stable"
"MT-RNR2",394977.889255613,-2.97097441124578e-06,0.383013770060512,-1.06913219049521,0.285010108376454,0.824656826184736,"Stable"
"MT-CO3",467433.067386022,-1.30297920432906e-06,0.308416975894945,-0.415476496137742,0.677793117715841,0.950342874107459,"Stable"
"MT-CO2",429583.795750223,-3.14340922393228e-06,0.29350137747224,-1.11868383927619,0.263275041998082,0.808909252215739,"Stable"
"MT-CYB",392983.008807809,-2.22787344928661e-06,0.358352472014144,-0.830552174783496,0.406226661672159,0.876366805055562,"Stable"
"HP",505922.207196219,-3.15439061482911e-06,0.599694011106261,-0.835005238366828,0.403714758976459,0.874559788147737,"Stable"
"APOE",335084.820045578,-1.41625029719048e-05,0.362418553865716,-0.517420990081203,0.604862310253605,0.937726068590418,"Stable"
"FGB",351822.794499815,-3.69918046707188e-06,0.489804090761959,-1.65120193830959,0.0986973474712615,0.628266912099299,"Stable"
"TF",384230.393095889,-5.54025731867424e-06,0.45875804854125,0.44156932290173,0.658800886985067,0.947066614625979,"Stable"
"FGG",294622.582023237,-5.18049771875258e-06,0.405846653562738,-1.93585361000874,0.0528856327841947,0.505014971237286,"Stable"
"AMBP",305081.84515499,-6.29160556593142e-06,0.304903946261265,-1.50209607440278,0.133072298565288,0.681386958151014,"Stable"
"MT-ND2",321277.178298766,2.66650864254718e-08,0.338230754570276,0.00135075530682377,0.998922253522995,0.999648385078248,"Stable"
"RBP4",300570.999835427,-9.00664309658254e-06,0.402499802583727,-0.827538317558958,0.407932013171123,0.877166109633541,"Stable"
"MT-ND1",265577.638404888,1.80564385292281e-06,0.327054299305372,0.361298636759228,0.717876212698265,0.958307539045783,"Stable"
"APOA1",239031.135096336,-4.59590815200989e-06,0.51729798393006,-0.24815090817938,0.804017648092239,0.973534796083553,"Stable"
"APOB",255439.698739607,-1.00945111635216e-05,0.2749822597887,0.187041532500987,0.851628069298357,0.979563285657982,"Stable"
"FN1",189679.092829939,-6.06434936983418e-07,0.278379404843611,-0.23728206422797,0.812437975500593,0.974546451401321,"Stable"
"MT-ATP6",239480.138601936,4.12223484674407e-07,0.334990688988515,-0.394941714185791,0.692885903725607,0.95272708759461,"Stable"
"CLU",221280.823092201,-4.28536391520342e-06,0.400394908808966,-1.57478493700625,0.115306094457744,0.654101596742944,"Stable"
"APOH",250710.676424137,-4.03326204655183e-06,0.500905365962641,-1.86621937175387,0.0620106798872508,0.533785113802187,"Stable"
"ALDOB",285179.066331199,-9.96854711049936e-07,0.694473819035071,-0.676724911467465,0.498580507683421,0.902418838483916,"Stable"
"APOC3",206468.661508066,-2.84100800319932e-06,0.503513308930748,-1.32658322359665,0.184646588423173,0.74810014653532,"Stable"
"VTN",169281.524038174,-5.64676932586079e-06,0.352297317937304,-1.83969302048532,0.0658133188237931,0.543842165992013,"Stable"
"GLUL",142973.003757946,-6.68042655302844e-08,0.620992520611167,1.17781053597088,0.238872147370653,0.789825203454071,"Stable"
"MT-ND5",169585.695691801,-2.75815762642479e-06,0.443296734797695,-1.14251945777073,0.253238162817052,0.802751862055318,"Stable"
"AHSG",165966.952372862,2.42581456959407e-07,0.459208541116075,0.944851578243851,0.344734655252258,0.855234785806993,"Stable"
"ACTB",123847.101084885,-2.89368284321438e-05,0.127525565121732,1.0014093931363,0.316628924754098,0.840779658218844,"Stable"
"SERPINC1",162213.163223332,-9.51275579856473e-07,0.50612803898446,-0.0578769710754925,0.953846626785931,0.995106803666539,"Stable"
"EEF1A1",120904.197700784,-1.64067808142203e-06,0.21460452700275,-0.172661093706183,0.862917827131031,0.982000183075773,"Stable"
"EPHX1",131668.386476271,8.98528240277205e-07,0.371570062453251,-0.0834900385972828,0.933461897786628,0.991011226092555,"Stable"
"AGT",148539.311675839,-7.2773743304016e-07,0.306692029317386,0.670420002698285,0.502590086949939,0.903879213332127,"Stable"
"GC",129278.392121746,-5.05782937815601e-06,0.342166905999233,-1.61213641816859,0.106932257404392,0.639314798609527,"Stable"
"CYP2E1",91614.633366383,6.69619414149844e-07,0.847327065668883,0.0573205601501397,0.954289842646486,0.995106803666539,"Stable"
"A2M",125287.673414656,-3.44968780105501e-06,0.470263957675499,-1.50006112138,0.133598570675124,0.681386958151014,"Stable"
"SERPING1",128736.11182447,2.50951592090598e-06,0.343809117757833,-0.612079738751723,0.540485002068141,0.919650328122863,"Stable"
"CES1",128810.589112577,-5.62697998710766e-06,0.517278059076191,-1.01437854113038,0.31040215973369,0.837747994184658,"Stable"
"B2M",106152.281161078,-7.15833817563387e-06,0.325715877556482,-1.56908364496935,0.116628450140587,0.655548238794173,"Stable"
"ITIH2",104798.738921252,-1.11147285634811e-06,0.385617545734575,-0.305304796575975,0.760134023090046,0.964193780608341,"Stable"
"ORM1",125660.196077714,-1.80409219174261e-05,0.44787324452723,-0.562645807656539,0.573676092980067,0.92881085871844,"Stable"
"HPX",118209.914859989,-3.21551264729611e-06,0.468450988194513,-1.39399756877996,0.163318338815122,0.725546752209557,"Stable"
"CRP",103387.530687587,-1.98897878361695e-06,0.909986727514517,-0.50582963681351,0.612976251274792,0.937844790326334,"Stable"
"TTR",115438.005239397,-5.09385716631139e-06,0.512595860882126,-2.39771413873224,0.0164977346888555,0.314522668459934,"Stable"
"HRG",116757.059378388,-1.33653551840875e-06,0.738861844079232,-1.28359028812586,0.199285349670858,0.75971074926988,"Stable"
"SCD",121985.527217679,2.1423825208863e-06,0.539502784779715,2.26544668239071,0.0234852823902945,0.369344665965012,"Stable"
"C1S",104937.061150255,-1.47751914071787e-06,0.410349464924524,-0.726968486576915,0.46724526084315,0.896034188582498,"Stable"
"MT-ND3",104976.613391188,3.32159737880779e-07,0.361601526976682,0.00748250568498909,0.994029879946952,0.998446284034292,"Stable"
"RPL3",81308.0558192467,-1.21650220627786e-05,0.254708728573141,0.0204363436847611,0.983695291830213,0.998440579039769,"Stable"
"ITIH3",93969.7493336171,-2.09589752906888e-07,0.425213508441259,-0.0209178376424888,0.983311197355983,0.998440579039769,"Stable"
"EEF2",78135.7749405223,-1.69982558351962e-06,0.147036541796913,-0.2404919133656,0.809948931542281,0.974091933259274,"Stable"
"ADH1B",91658.2627470159,-1.80208831391368e-06,0.595931791354146,-1.00236821153634,0.316165789213995,0.840245757294679,"Stable"
"APOC1",85456.8825722303,-1.38009274121906e-06,0.467312003476872,-0.65549256507476,0.512150671753536,0.908770517342008,"Stable"
"ITIH1",84973.6992310517,-4.96089044712192e-06,0.365135744082996,-1.67806137577134,0.0933351179155607,0.616402369843393,"Stable"
"RPL8",80830.4973803559,5.36625431987876e-07,0.451516028916824,-0.0168651787564042,0.986544172141169,0.998446284034292,"Stable"
"ACTG1",74504.7339491826,3.12726622947464e-05,0.256269684963869,0.91278450082997,0.361355891449484,0.859169921403163,"Stable"
"CPS1",94273.3237581894,-9.69578649418629e-07,0.742346364035473,-0.681066910722577,0.495829153296641,0.901395336189385,"Stable"
"HLA-B",71243.9897032171,-0.000158213249678313,0.444752426385106,-0.44921925248611,0.653273500483829,0.9459557810964,"Stable"
"MT-RNR1",64025.3171676994,-3.70588482365118e-06,0.377614805129933,-1.24642503512508,0.212608394927847,0.767722017669273,"Stable"
"KNG1",83481.7803385169,-1.91635248755925e-06,0.450064498793642,-0.813808074989266,0.415754908415864,0.880041886914555,"Stable"
"CD74",62458.4219631656,-9.17091538883276e-07,0.403816488991952,-1.02415667985616,0.305761276394066,0.836617997206084,"Stable"
"TMBIM6",75079.2442314208,-4.62525268031403e-06,0.196117020847199,-0.863511783144137,0.387856143725803,0.866757938623169,"Stable"
"P4HB",69203.2193726943,-8.07336408307526e-07,0.253764169417321,-0.716913247044674,0.473427627595577,0.897719233104685,"Stable"
